id,title,artist_id,genre,duration_seconds,description
song-38,Radioactivity,artist-16,Electronic,241,"A cerebral electronic exploration balancing mechanical precision with organic, emotional undertones."
song-39,Here You Come Again,artist-17,Country,305,A playful country-pop hit about an irresistible ex who keeps coming back.
song-40,Folsom Prison Blues,artist-17,Country,347,A raw country classic capturing the longing of a prisoner watching life pass by.
song-41,Man in the Mirror,artist-10,Pop,204,An inspiring pop anthem urging personal change to make the world a better place.
song-42,Rising Lights,artist-9,Pop,375,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-43,Dark Lights,artist-3,Rock,274,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-44,Last Dreams,artist-10,Pop,302,"A soulful pop ballad showcasing emotive vocals over gentle, sweeping instrumentation."
song-45,Thunderstruck,artist-5,Rock,163,An electrifying hard rock track driven by one of the most iconic guitar riffs ever.
song-46,Two Doors Down,artist-18,Country,257,A lively country track driven by rollicking rhythms and down-home charm.
song-47,Beat It,artist-6,Pop,286,"A fierce pop-rock anthem about standing up for yourself, featuring a legendary guitar solo."
song-48,Born to Run,artist-5,Rock,369,An explosive rock anthem about youthful dreams and the desire to escape small-town life.
song-49,Ghost Riders in the Sky,artist-17,Country,303,A haunting cowboy ballad about spectral horsemen chasing devil's cattle across the sky.
song-50,Eternal Rivers,artist-3,Rock,265,A powerful rock piece weaving dark lyrical themes with blistering guitar solos.
song-51,Silent Rivers,artist-16,Electronic,297,A hypnotic electronic track locking into a deep groove of interlocking synth patterns.
song-52,Bright Stars,artist-19,Classical,344,A luminous classical composition radiating warmth through gentle strings and expressive phrasing.
song-53,Silent Waves,artist-16,Electronic,376,"A pulsating electronic track weaving synthetic textures into a mesmerizing, futuristic soundscape."
song-54,Love Is Like a Butterfly,artist-18,Country,314,A nostalgic country ballad reflecting on simpler times with gentle steel guitar and honest vocals.
song-55,Black Dog,artist-2,Rock,221,A swaggering hard rock track with a complex riff and powerful bluesy vocals.
song-56,Golden Dreams,artist-9,Pop,394,"A soulful pop ballad showcasing emotive vocals over gentle, sweeping instrumentation."
song-57,Bicycle Race,artist-1,Rock,300,A playful and irreverent rock song celebrating simple pleasures over life's complications.
song-58,Electric Memories,artist-17,Country,208,"A breezy country song carried by bright acoustic picking and a relaxed, conversational delivery."
song-59,Like a Virgin,artist-6,Pop,186,A bold pop anthem about feeling renewed and alive through the power of love.
song-60,Distant Memories,artist-8,Pop,291,"A vibrant pop song combining playful lyrics with a toe-tapping, radio-ready groove."
song-61,Bright Shadows,artist-9,Pop,298,An upbeat pop anthem radiating positive energy through bright melodies and crisp arrangements.
song-62,Autobahn,artist-15,Electronic,248,A pioneering electronic track evoking the hypnotic rhythm of driving on the German motorway.
song-63,My Favorite Things,artist-11,Jazz,181,"A beloved jazz reinterpretation of the show tune, reinvented with modal improvisation."
song-64,We Have All the Time in the World,artist-12,Jazz,417,"A lush, romantic jazz ballad radiating warmth and timeless devotion."
song-65,Bright Memories,artist-6,Pop,390,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-66,Bright Memories,artist-8,Pop,330,A breezy pop track carried by warm melodies and sparkling synth textures.
song-67,Another One Bites the Dust,artist-4,Rock,199,A funk-driven rock anthem with one of the most recognizable bass lines in music.
song-68,Smoke on the Water,artist-1,Rock,194,A legendary hard rock track immortalized by its four-note guitar riff.
song-69,Golden Voices,artist-14,Reggae,419,"A roots reggae track carrying a message of hope over a deep, rolling riddim."
song-70,Distant Rivers,artist-11,Jazz,258,A smooth jazz composition gliding through mellow grooves and nuanced melodic phrasing.
song-71,Last Dreams,artist-20,Classical,228,A vibrant classical piece sparkling with rhythmic vitality and brilliant orchestral color.
song-72,Pathetique Sonata,artist-19,Classical,162,A deeply emotional piano sonata moving from turbulent drama to lyrical tenderness.
song-73,Last Dreams,artist-18,Country,386,A warm country tune blending storytelling tradition with foot-stomping acoustic energy.
song-74,Golden Shadows,artist-8,Pop,346,A breezy pop track carried by warm melodies and sparkling synth textures.
song-75,Spring Sonata,artist-19,Classical,346,"A radiant violin sonata bursting with warmth, optimism, and lyrical beauty."
song-76,First Waves,artist-16,Electronic,296,A luminous electronic piece radiating digital warmth through cascading arpeggios and steady beats.
song-77,Broken Horizons,artist-13,Jazz,368,A lively jazz outing bouncing with rhythmic interplay and virtuosic musicianship.
song-78,Rebel Music,artist-14,Reggae,216,"A defiant reggae track protesting oppression with a steady, militant rhythm."
song-79,Fernando,artist-8,Pop,374,A nostalgic pop ballad recalling wartime camaraderie under starlit skies.
song-80,Islands in the Stream,artist-18,Country,357,A warm country-pop duet about an unbreakable bond between two lovers.
song-81,Dont Let the Sun Go Down on Me,artist-7,Pop,247,"A dramatic, emotional ballad about vulnerability and the need for connection."
song-82,Midnight Storms,artist-3,Rock,314,An intense rock composition merging melodic hooks with explosive instrumental passages.
song-83,Wild Storms,artist-19,Classical,160,A majestic classical piece unfolding with rich orchestral textures and timeless elegance.
song-84,Circle of Life,artist-10,Pop,379,A majestic pop anthem celebrating the cycle of existence with sweeping orchestration.
song-85,Dark Shadows,artist-7,Pop,182,An energetic pop hit bursting with rhythmic vitality and singalong appeal.
song-86,Rising Horizons,artist-1,Rock,217,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-87,Digital Love,artist-15,Electronic,171,"A driving electronic piece built on layered synths and a relentless, hypnotic beat."
song-88,Lost Voices,artist-18,Country,214,A tender country piece exploring themes of home and belonging with quiet sincerity.
song-89,Exodus,artist-14,Reggae,209,"A powerful reggae call to action, urging liberation and the movement of Jah people."
song-90,Like a Prayer,artist-8,Pop,186,A provocative pop song blending spiritual imagery with passionate dance beats.
song-91,Midnight Dreams,artist-6,Pop,307,A polished pop track blending smooth vocals with shimmering production and danceable beats.
song-92,First Voices,artist-16,Electronic,212,"A cerebral electronic exploration balancing mechanical precision with organic, emotional undertones."
song-93,Lacrimosa,artist-20,Classical,312,A profoundly moving classical requiem passage expressing grief and divine supplication.
song-94,Let It Be,artist-8,Pop,409,A serene rock hymn offering words of wisdom and comfort in troubled times.
song-95,I Will Always Love You,artist-17,Country,365,A tender country farewell ballad expressing enduring love despite parting ways.
song-96,Distant Dreams,artist-12,Jazz,261,A contemplative jazz ballad unfolding with gentle restraint and emotional depth.
song-97,First Stars,artist-10,Pop,369,A sleek pop groove layering smooth rhythms with captivating melodic twists.
song-98,Ray of Light,artist-7,Pop,217,A breezy pop track carried by warm melodies and sparkling synth textures.
song-99,The River,artist-4,Rock,196,A reflective rock song about broken dreams and the passage of youthful ambition.
song-100,Voulez-Vous,artist-10,Pop,262,An energetic disco-pop track pulsing with infectious rhythm and playful French flair.
song-101,Impressions,artist-11,Jazz,245,A landmark modal jazz piece built on ascending melodic lines and spiritual intensity.
song-102,Fading Echoes,artist-15,Electronic,407,A hypnotic electronic track locking into a deep groove of interlocking synth patterns.
song-103,Silent Skies,artist-4,Rock,232,A gritty rock tune channeling rebellious energy through distorted chords and pounding rhythms.
song-104,Mack the Knife,artist-13,Jazz,191,A smooth jazz composition gliding through mellow grooves and nuanced melodic phrasing.
song-105,Freddie Freeloader,artist-11,Jazz,376,A sophisticated jazz piece exploring rich harmonic textures with elegant improvisational flair.
song-106,Hurt,artist-17,Country,373,"A stark, confessional country ballad about regret and the weight of a troubled life."
song-107,Bright Roads,artist-11,Jazz,293,A swinging jazz number driven by rhythmic vitality and spontaneous creative energy.
song-108,Eternal Lights,artist-3,Rock,273,An intense rock composition merging melodic hooks with explosive instrumental passages.
song-109,I Want to Break Free,artist-4,Rock,190,A rebellious pop-rock anthem about liberation from conformity and expectation.
song-110,Golden Waves,artist-14,Reggae,401,"A roots reggae track carrying a message of hope over a deep, rolling riddim."
song-111,Mother,artist-5,Rock,284,A gritty rock tune channeling rebellious energy through distorted chords and pounding rhythms.
song-112,Free Bird,artist-2,Rock,231,"An epic Southern rock ballad about freedom and restless wandering, crowned by a legendary solo."
song-113,Golden Memories,artist-20,Classical,385,"A delicate classical composition balancing intricate counterpoint with lyrical, singing melodies."
song-114,Dark Roads,artist-14,Reggae,397,A vibrant reggae number fusing dub textures with catchy melodies and social commentary.
song-115,Midnight Mountains,artist-14,Reggae,219,A rhythmic reggae anthem radiating peace and positivity through offbeat guitar chops.
song-116,Old Flames,artist-18,Country,259,A bittersweet country tune about running into a past love and the memories that linger.
song-117,Something About Us,artist-16,Electronic,229,"A smooth, melancholic electronic love song with understated emotion and warmth."
song-118,Eternal Rivers,artist-12,Jazz,185,A spirited jazz composition celebrating the art of improvisation with infectious swing.
song-119,We Are the Champions,artist-3,Rock,229,A triumphant rock anthem celebrating perseverance and hard-won victory.
song-120,Broken Rivers,artist-19,Classical,287,"A contemplative classical work exploring rich harmonic landscapes with patient, unhurried grace."
song-121,Fading Stars,artist-14,Reggae,289,"An uplifting reggae song blending skanking guitars with soulful, conscious lyrics."
song-122,Dark Waves,artist-17,Country,294,"A breezy country song carried by bright acoustic picking and a relaxed, conversational delivery."
song-123,Footprints,artist-12,Jazz,285,A lyrical jazz composition exploring gentle melodic landscapes with understated elegance.
song-124,Crazy Train,artist-1,Rock,261,A high-voltage rock track driven by one of metal's most recognizable opening riffs.
song-125,Distant Dreams,artist-19,Classical,175,"A contemplative classical work exploring rich harmonic landscapes with patient, unhurried grace."
song-126,Im Still Standing,artist-6,Pop,277,An upbeat pop celebration of resilience and bouncing back stronger than ever.
song-127,The Wall,artist-2,Rock,405,"An ambitious rock concept piece exploring isolation, trauma, and emotional barriers."
song-128,Eine Kleine Nachtmusik,artist-20,Classical,354,"A sparkling classical serenade brimming with elegance, charm, and melodic delight."
song-129,Dark Storms,artist-5,Rock,185,A gritty rock tune channeling rebellious energy through distorted chords and pounding rhythms.
song-130,Eternal Horizons,artist-12,Jazz,186,A contemplative jazz ballad unfolding with gentle restraint and emotional depth.
song-131,Eternal Roads,artist-6,Pop,206,A polished pop track blending smooth vocals with shimmering production and danceable beats.
song-132,Rising Waves,artist-12,Jazz,392,A lively jazz outing bouncing with rhythmic interplay and virtuosic musicianship.
song-133,Rising Echoes,artist-14,Reggae,331,"An uplifting reggae song blending skanking guitars with soulful, conscious lyrics."
song-134,Rising Horizons,artist-15,Electronic,304,"A cerebral electronic exploration balancing mechanical precision with organic, emotional undertones."
song-135,Fading Waves,artist-20,Classical,265,A graceful classical piece flowing with refined beauty and subtle emotional depth.
song-136,Help,artist-6,Pop,214,"An urgent pop-rock plea for emotional support beneath its upbeat, catchy surface."
song-137,Whole Lotta Love,artist-5,Rock,364,"A raw, blues-infused hard rock track bursting with primal energy and sonic experimentation."
song-138,Redemption Song,artist-14,Reggae,384,An acoustic reggae masterpiece about freedom and the power of emancipation.
song-139,Tennessee Mountain Home,artist-18,Country,376,A nostalgic country ode to the beauty and simplicity of Appalachian life.
song-140,Broken Echoes,artist-19,Classical,177,"A dramatic classical work building from quiet tension to powerful, sweeping climaxes."
song-141,Broken Skies,artist-11,Jazz,344,A spirited jazz composition celebrating the art of improvisation with infectious swing.
song-142,The Marriage of Figaro,artist-19,Classical,212,"A brilliant operatic overture full of wit, drama, and dazzling orchestral energy."
song-143,Ave Verum Corpus,artist-20,Classical,408,A sublime choral hymn of serene beauty and spiritual contemplation.
song-144,Numbers,artist-15,Electronic,372,An atmospheric electronic journey drifting through ethereal pads and rhythmic precision.
song-145,Could You Be Loved,artist-14,Reggae,217,An infectious reggae-funk crossover encouraging self-love and authenticity.
song-146,Fading Lights,artist-15,Electronic,281,"A sleek electronic track fusing minimalist melodies with deep, throbbing bass pulses."
song-147,First Waves,artist-9,Pop,155,"A dreamy pop piece floating on airy production and wistful, introspective lyrics."
song-148,Kind of Blue,artist-11,Jazz,157,"A cool, contemplative jazz piece from the most influential album in jazz history."
song-149,Learning to Fly,artist-2,Rock,311,A hopeful rock anthem about taking risks and embracing the unknown.
song-150,Electric Rivers,artist-20,Classical,178,A graceful classical piece flowing with refined beauty and subtle emotional depth.
song-151,Silent Voices,artist-16,Electronic,345,A luminous electronic piece radiating digital warmth through cascading arpeggios and steady beats.
song-152,Midnight Memories,artist-4,Rock,377,"A driving rock track with powerful guitar riffs and raw, unfiltered energy."
song-153,First Shadows,artist-16,Electronic,380,A dynamic electronic groove evolving through shifting patterns and immersive sonic layers.
song-154,Golden Memories,artist-19,Classical,255,A majestic classical piece unfolding with rich orchestral textures and timeless elegance.
song-155,Wild Waves,artist-12,Jazz,301,"A dynamic jazz exploration blending complex chord changes with fluid, inventive soloing."
song-156,No Woman No Cry,artist-14,Reggae,384,A soulful reggae ballad of hope and remembrance from the streets of Trenchtown.
song-157,Fading Mountains,artist-13,Jazz,353,A warm jazz piece radiating understated elegance through subtle rhythmic shifts and lush tones.
song-158,Face to Face,artist-15,Electronic,241,"A sleek electronic track fusing minimalist melodies with deep, throbbing bass pulses."
song-159,Wild Voices,artist-4,Rock,310,An anthemic rock song blending heavy instrumentation with soaring vocal melodies.
song-160,Broken Mountains,artist-9,Pop,385,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-161,Knowing Me Knowing You,artist-8,Pop,160,A bittersweet pop farewell acknowledging that a relationship has reached its end.
song-162,Distant Storms,artist-16,Electronic,301,A hypnotic electronic track locking into a deep groove of interlocking synth patterns.
song-163,Bad,artist-8,Pop,372,"A bold, funky pop track asserting confidence with edgy attitude and slick grooves."
song-164,Fading Shadows,artist-3,Rock,214,"A dynamic rock track shifting between brooding verses and explosive, cathartic choruses."
song-165,Fading Roads,artist-1,Rock,196,A gritty rock tune channeling rebellious energy through distorted chords and pounding rhythms.
song-166,Sun Is Shining,artist-14,Reggae,294,"A steady reggae jam layering rich harmonies over a pulsing, head-nodding rhythm."
song-167,Kashmir,artist-2,Rock,379,A monumental rock odyssey blending Eastern scales with thunderous orchestral power.
song-168,Electric Shadows,artist-18,Country,337,A tender country piece exploring themes of home and belonging with quiet sincerity.
song-169,Silent Dreams,artist-16,Electronic,316,A high-energy electronic anthem powered by pounding kicks and euphoric synth leads.
song-170,Iron Man,artist-1,Rock,165,A heavy metal classic featuring a doom-laden riff and a cautionary sci-fi narrative.
song-171,When the Saints Go Marching In,artist-13,Jazz,170,A jubilant jazz standard and New Orleans anthem radiating pure joy.
song-172,Fading Voices,artist-13,Jazz,191,A moody jazz track painting atmospheric soundscapes with expressive instrumental interplay.
song-173,Midnight Mountains,artist-5,Rock,405,An intense rock composition merging melodic hooks with explosive instrumental passages.
song-174,Last Mountains,artist-13,Jazz,337,A moody jazz track painting atmospheric soundscapes with expressive instrumental interplay.
song-175,Harder Better Faster Stronger,artist-16,Electronic,336,A robotic electronic anthem built on vocoder chants and relentless dance energy.
song-176,Dont Stop Me Now,artist-1,Rock,197,A euphoric rock anthem overflowing with unstoppable joy and blazing energy.
song-177,Dark Lights,artist-19,Classical,346,A graceful classical piece flowing with refined beauty and subtle emotional depth.
song-178,Equinox,artist-13,Jazz,230,A meditative jazz exploration balancing light and dark with fluid improvisational beauty.
song-179,First Mountains,artist-2,Rock,308,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-180,Last Waves,artist-19,Classical,400,A pastoral classical work painting serene landscapes with flowing melodies and soft orchestration.
song-181,Lost Mountains,artist-20,Classical,272,A luminous classical composition radiating warmth through gentle strings and expressive phrasing.
song-182,Midnight Voices,artist-3,Rock,393,A sweeping rock ballad balancing heavy instrumentation with moments of quiet introspection.
song-183,Tiny Dancer,artist-9,Pop,360,"A soulful pop ballad showcasing emotive vocals over gentle, sweeping instrumentation."
song-184,Golden Roads,artist-10,Pop,323,A sleek pop groove layering smooth rhythms with captivating melodic twists.
song-185,Dark Roads,artist-1,Rock,352,A muscular rock anthem fueled by relentless riffs and commanding vocal delivery.
song-186,Broken Flames,artist-20,Classical,370,"A contemplative classical work exploring rich harmonic landscapes with patient, unhurried grace."
song-187,Electric Rivers,artist-8,Pop,306,A silky pop number with lush harmonies and an effortlessly memorable chorus.
song-188,Thunder Road,artist-1,Rock,162,A hard-hitting rock number built on thunderous drums and electrifying guitar work.
song-189,Golden Dreams,artist-14,Reggae,380,"A contemplative reggae ballad infused with warmth, longing, and gentle island breezes."
song-190,Distant Waves,artist-10,Pop,330,An energetic pop hit bursting with rhythmic vitality and singalong appeal.
song-191,Wish You Were Here,artist-5,Rock,275,"A poignant rock elegy for lost friendship, wrapped in gentle acoustic beauty."
song-192,Aerodynamic,artist-15,Electronic,361,A high-energy electronic track blending robotic riffs with a soaring rock guitar breakdown.
song-193,Man in Black,artist-17,Country,416,A somber country statement explaining why Cash always dressed in black for the downtrodden.
song-194,Basin Street Blues,artist-12,Jazz,217,"A smooth, swinging jazz classic evoking the vibrant nightlife of New Orleans."
song-195,Last Mountains,artist-14,Reggae,176,"A roots reggae track carrying a message of hope over a deep, rolling riddim."
song-196,Bright Shadows,artist-20,Classical,151,A majestic classical piece unfolding with rich orchestral textures and timeless elegance.
song-197,Midnight Stars,artist-12,Jazz,359,A smooth jazz composition gliding through mellow grooves and nuanced melodic phrasing.
song-198,Afro Blue,artist-11,Jazz,184,A groundbreaking jazz composition fusing African rhythms with modern harmonic sophistication.
song-199,Jamming,artist-14,Reggae,409,An infectious reggae jam about musical togetherness and the joy of playing.
song-200,In a Silent Way,artist-12,Jazz,399,"A meditative jazz-fusion piece creating shimmering, ambient soundscapes."
song-201,Midnight Waves,artist-1,Rock,309,A hard-hitting rock number built on thunderous drums and electrifying guitar work.
song-202,Somebody to Love,artist-2,Rock,322,A gospel-infused rock anthem yearning for connection with soaring vocal harmonies.
song-203,Flamenco Sketches,artist-13,Jazz,200,A serene modal jazz piece where each soloist drifts through a sequence of scales.
song-204,I Shot the Sheriff,artist-14,Reggae,218,A reggae classic telling a story of self-defense and unjust persecution.
song-205,Ring of Fire,artist-18,Country,411,An iconic country song with mariachi horns describing love's burning intensity.
song-206,Turn Your Lights Down Low,artist-14,Reggae,325,"A sultry reggae love song with a gentle, intimate groove."
song-207,Crocodile Rock,artist-9,Pop,177,"A nostalgic, upbeat pop-rock throwback celebrating teenage dances and first love."
song-208,Thriller,artist-10,Pop,155,"A genre-defining pop masterpiece blending funk, horror, and unforgettable theatricality."
song-209,Stairway to Heaven,artist-5,Rock,292,A legendary progressive rock epic ascending from acoustic delicacy to thundering climax.
song-210,Rising Rivers,artist-9,Pop,383,An upbeat pop anthem radiating positive energy through bright melodies and crisp arrangements.
song-211,Wild Stars,artist-11,Jazz,230,A warm jazz piece radiating understated elegance through subtle rhythmic shifts and lush tones.
song-212,Billie Jean,artist-10,Pop,278,An iconic pop track with a legendary bass line and a tale of mistaken identity.
song-213,Silent Rivers,artist-4,Rock,295,A sweeping rock ballad balancing heavy instrumentation with moments of quiet introspection.
song-214,Lost Shadows,artist-17,Country,319,A warm country tune blending storytelling tradition with foot-stomping acoustic energy.
song-215,Rising Echoes,artist-16,Electronic,358,An atmospheric electronic journey drifting through ethereal pads and rhythmic precision.
song-216,Bennie and the Jets,artist-6,Pop,181,A glam-tinged pop-rock track about a fictional electric band and their dazzling show.
song-217,Central Park West,artist-11,Jazz,410,"A gentle, romantic jazz ballad inspired by the New York cityscape."
song-218,Lost Rivers,artist-9,Pop,247,"A soulful pop ballad showcasing emotive vocals over gentle, sweeping instrumentation."
song-219,Last Voices,artist-12,Jazz,195,A lively jazz outing bouncing with rhythmic interplay and virtuosic musicianship.
song-220,Broken Stars,artist-8,Pop,335,An energetic pop hit bursting with rhythmic vitality and singalong appeal.
song-221,Wild Stars,artist-8,Pop,361,"A dreamy pop piece floating on airy production and wistful, introspective lyrics."
song-222,Jolene,artist-18,Country,356,"A desperate, pleading country ballad begging a beautiful woman not to steal a lover."
song-223,Fortunate Son,artist-1,Rock,206,"A fiery rock protest against privilege and war, driven by swampy guitar riffs."
song-224,Fading Dreams,artist-14,Reggae,315,A rhythmic reggae anthem radiating peace and positivity through offbeat guitar chops.
song-225,Paranoid,artist-5,Rock,366,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-226,Wild Dreams,artist-7,Pop,365,A catchy pop tune with infectious hooks and a feel-good vibe from start to finish.
song-227,Highway Star,artist-3,Rock,275,A blazing hard rock track showcasing virtuoso guitar and organ at breakneck speed.
song-228,Stir It Up,artist-14,Reggae,304,"A roots reggae track carrying a message of hope over a deep, rolling riddim."
song-229,All Blues,artist-11,Jazz,292,"A laid-back jazz waltz in 6/8 time with a hypnotic, bluesy groove."
song-230,The Magic Flute,artist-19,Classical,204,A dazzling operatic overture blending playfulness and grandeur in equal measure.
song-231,Fading Voices,artist-5,Rock,362,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-232,The Model,artist-16,Electronic,318,"A sleek electronic track fusing minimalist melodies with deep, throbbing bass pulses."
song-233,Electric Mountains,artist-7,Pop,278,A breezy pop track carried by warm melodies and sparkling synth textures.
song-234,Distant Stars,artist-1,Rock,181,An anthemic rock song blending heavy instrumentation with soaring vocal melodies.
song-235,Distant Stars,artist-14,Reggae,398,A rhythmic reggae anthem radiating peace and positivity through offbeat guitar chops.
song-236,Last Storms,artist-19,Classical,344,A vibrant classical piece sparkling with rhythmic vitality and brilliant orchestral color.
song-237,Midnight Horizons,artist-3,Rock,355,A hard-hitting rock number built on thunderous drums and electrifying guitar work.
song-238,Requiem,artist-19,Classical,225,A solemn classical composition evoking deep feeling through restrained dynamics and noble themes.
song-239,Here Comes the Sun,artist-10,Pop,315,A catchy pop tune with infectious hooks and a feel-good vibe from start to finish.
song-240,Broken Echoes,artist-15,Electronic,305,"A sleek electronic track fusing minimalist melodies with deep, throbbing bass pulses."
song-241,Comfortably Numb,artist-1,Rock,237,"A haunting rock ballad about emotional disconnection, crowned by two iconic guitar solos."
song-242,Midnight Echoes,artist-8,Pop,219,"A dreamy pop piece floating on airy production and wistful, introspective lyrics."
song-243,Wild Lights,artist-20,Classical,410,"A dramatic classical work building from quiet tension to powerful, sweeping climaxes."
song-244,Mamma Mia,artist-7,Pop,252,"A bubbly, irresistible pop hit about falling helplessly back in love."
song-245,Kaya,artist-14,Reggae,197,A mellow reggae track celebrating relaxation and the soothing power of nature.
song-246,Veridis Quo,artist-15,Electronic,233,"A cerebral electronic exploration balancing mechanical precision with organic, emotional undertones."
song-247,Silent Voices,artist-14,Reggae,239,"A roots reggae track carrying a message of hope over a deep, rolling riddim."
song-248,Good Times Bad Times,artist-5,Rock,335,A explosive rock debut showcasing thunderous drumming and raw youthful energy.
song-249,Don Giovanni,artist-20,Classical,175,"A dramatic operatic overture bristling with tension, passion, and orchestral brilliance."
song-250,Midnight Stars,artist-9,Pop,323,"A vibrant pop song combining playful lyrics with a toe-tapping, radio-ready groove."
song-251,Back in Black,artist-2,Rock,408,A thunderous hard rock comeback anthem fueled by raw power and attitude.
song-252,Sweet Home Alabama,artist-4,Rock,182,"A proud Southern rock anthem celebrating home, heritage, and good times."
song-253,Material Girl,artist-6,Pop,267,A playful pop satire on materialism wrapped in an irresistibly catchy melody.
song-254,Lost Skies,artist-2,Rock,300,An adrenaline-charged rock song driven by pulsating bass and fierce vocal intensity.
song-255,Silent Skies,artist-18,Country,343,A rollicking country tune mixing humor and heart over a driving honky-tonk beat.
song-256,Last Echoes,artist-12,Jazz,338,A swinging jazz number driven by rhythmic vitality and spontaneous creative energy.
song-257,Within,artist-16,Electronic,306,"A shimmering electronic composition blending ambient washes with crisp, mechanical rhythms."
song-258,Fading Rivers,artist-19,Classical,357,"A contemplative classical work exploring rich harmonic landscapes with patient, unhurried grace."
song-259,Rock and Roll,artist-1,Rock,173,A high-octane rock track exploding with adrenaline and classic rock-and-roll spirit.
song-260,Get Rhythm,artist-18,Country,359,A nostalgic country ballad reflecting on simpler times with gentle steel guitar and honest vocals.
song-261,Bohemian Rhapsody,artist-1,Rock,231,"A groundbreaking rock opera blending balladry, opera, and hard rock in six unforgettable minutes."
